"HISEI","HOMEPOS","IMMIG","GRADE","GENDER","MATH","W"
81.13,0.371,2,0,0,585.0456,856.1546
30.9,-0.1772,2,1,1,389.2432,621.6563
50.57,-1.1685,2,0,1,444.0684,942.5247
31.08,-1.3337,1,0,0,323.2975,640.1664
59.76,0.3373,1,0,1,415.3753,739.4062
27.91,-0.7364,1,0,0,466.4068,1232.484
75.43,1.157,1,-1,1,378.0492,524.8874
22.75,-0.7963,2,0,1,480.8391,557.7143
72.83,0.4756,1,1,0,547.4414,1264.121
85.41,1.4168,1,0,0,552.1267,656.7302
20.95,-0.8283,1,0,1,367.8818,937.0833
85.41,1.5177,1,0,1,709.8434,875.2265
31.08,0.3387,1,0,1,342.7647,674.5685
76.49,0.728,1,0,1,553.0963,799.6732
81.4,0.7368,1,0,0,651.5918,700.969
81.13,1.7736,1,0,1,521.0989,942.5247
70.34,1.2363,3,0,0,587.2446,725.3383
79.74,0.8544,1,1,1,537.7196,962.4665
39.02,-1.1172,1,0,1,382.3057,670.317
80.46,-0.1871,1,0,1,321.4418,578.5244
43.33,0.3376,2,1,0,641.207,598.4125
48.13,0.2639,1,-1,0,405.5437,712.6043
68.7,-1.2583,1,1,0,515.2988,804.0913
47.83,-0.0093,1,0,0,450.8235,884.231
68.7,0.2147,1,0,0,549.9848,660.8248
22.77,-1.2638,1,-1,0,395.5696,1134.426
65.12,-0.1132,2,1,0,331.804,749.8203
26.64,0.7876,1,0,1,523.8744,773.6328
73.71,2.4295,1,0,1,515.809,584.2659
24.53,-0.8611,1,0,0,422.9946,752.9022
76.65,1.3505,1,0,1,499.9857,1463.899
